a_death decay shk |  Hd  Ed   n  acc | m̄(health-death) m̄(energy-death) m̄(surv)
  0.80  0.05 0.05|  22  20  22 0.856 |      0.47            4.32         0.40
  0.80  0.05 0.12|  92  19  27 0.842 |      0.44            4.29         0.38
  0.84  0.05 0.05|  40  20  14 0.881 |      0.53            4.32         0.42
  0.84  0.05 0.12| 157  19  21 0.860 |      0.47            4.29         0.40
  0.80  0.07 0.05| 253  18  23 0.826 |      0.33            4.25         0.23
  0.80  0.07 0.12| 337  17   8 0.817 |      0.38            4.06         0.24
  0.84  0.07 0.05| 316  18   0 nan |      0.37            4.25          nan
  0.84  0.07 0.12| 292  17   0 nan |      0.48            4.06          nan
  0.80  0.09 0.05| 199  18   0 nan |      0.40            3.94          nan
  0.80  0.09 0.12| 257  18   0 nan |      0.46            3.84          nan
  0.84  0.09 0.05| 203  18   0 nan |      0.53            3.94          nan
  0.84  0.09 0.12| 258  18   0 nan |      0.57            3.84          nan
