env,seed,n,L0,real,scram,term_births,semel,health,real_minus_scram
baseline,3000,20,1.0,0.0,0.0,0,0,698,0.0
baseline,3001,44,1.0,0.0,0.0,0,0,1044,0.0
baseline,3002,54,1.0,0.0,0.0,0,0,1523,0.0
baseline,3003,60,1.0,0.0,0.0,0,0,1071,0.0
baseline,3004,32,1.0,0.0,0.0,0,0,639,0.0
baseline,3005,46,1.0,0.0,0.0,0,0,1104,0.0
baseline,3006,27,1.0,0.0,0.0,0,0,524,0.0
baseline,3007,38,1.0,0.0,0.0,0,0,778,0.0
baseline,3008,22,1.0,0.0,0.0,0,0,362,0.0
baseline,3009,28,1.0,0.0,0.0,0,0,450,0.0
baseline,3010,51,1.0,0.0,0.0,0,0,1102,0.0
baseline,3011,27,1.0,0.0,0.0,0,0,644,0.0
actionable,3000,25,0.832313037643746,0.0823414722978382,0.08534549005841585,1461,1461,434,-0.003004017760577654
actionable,3001,44,0.0,0.0,1.0,3726,3726,399,-1.0
actionable,3002,52,0.015986641793093406,0.024650915669077008,0.9593624425378295,2793,2793,197,-0.9347115268687526
actionable,3003,25,0.023107950129949886,0.6640477274502735,0.3128443224197766,700,700,310,0.3512034050304969
actionable,3004,30,1.0,0.0,0.0,1152,1152,420,0.0
actionable,3005,28,0.8881962208761309,0.03870090697427029,0.0731028721495988,2675,2675,455,-0.034401965175328515
actionable,3006,50,1.0,0.0,0.0,1078,1078,173,0.0
actionable,3007,35,0.4145441833954679,0.585455816604532,0.0,1185,1185,382,0.585455816604532
actionable,3008,24,0.9243272185597261,0.03783639072013702,0.03783639072013702,1746,1746,331,0.0
actionable,3009,33,0.006036587933139657,0.9939634120668602,0.0,1589,1589,182,0.9939634120668602
actionable,3010,30,0.07288867404868662,0.9271113259513134,0.0,956,956,307,0.9271113259513134
actionable,3011,28,0.0,0.0,1.0,1099,1099,503,-1.0
