env,seed,n,L0,real,scram,term_births,semel,health,real_minus_scram
baseline,4000,32,1.0,0.0,0.0,0,0,812,0.0
baseline,4001,50,1.0,0.0,0.0,0,0,1774,0.0
baseline,4002,55,1.0,0.0,0.0,0,0,1212,0.0
baseline,4003,54,1.0,0.0,0.0,0,0,2133,0.0
baseline,4004,56,1.0,0.0,0.0,0,0,1685,0.0
baseline,4005,54,1.0,0.0,0.0,0,0,1694,0.0
baseline,4006,34,1.0,0.0,0.0,0,0,978,0.0
baseline,4007,53,1.0,0.0,0.0,0,0,2011,0.0
baseline,4008,64,1.0,0.0,0.0,0,0,2037,0.0
baseline,4009,45,1.0,0.0,0.0,0,0,1325,0.0
actionable,4000,31,0.0,1.0,0.0,406,406,398,1.0
actionable,4001,27,0.9377908439727388,0.021369149215940103,0.04084000681132095,833,833,414,-0.01947085759538085
actionable,4002,46,1.0,0.0,0.0,575,575,1599,0.0
actionable,4003,0,0.9523809523809523,0.0,0.0,764,764,683,0.0
actionable,4004,53,1.0,0.0,0.0,984,984,1251,0.0
actionable,4005,31,0.9287327541171829,0.04802353002530866,0.023243715857508403,4151,4151,1529,0.024779814167800257
actionable,4006,25,1.0,0.0,0.0,587,587,1008,0.0
actionable,4007,57,1.0,0.0,0.0,544,544,745,0.0
actionable,4008,28,0.9747674385322151,0.0,0.02523256146778487,418,418,622,-0.02523256146778487
actionable,4009,24,0.023593073593073593,0.9764069264069264,0.0,1261,1261,372,0.9764069264069264
