env,seed,n,L0,real,scram,term_births,semel,health,real_minus_scram
actionable,5000,23,0.961057602585683,0.0,0.03894239741431692,839,839,610,-0.03894239741431692
actionable,5001,50,0.0,0.0,1.0,1279,1279,1265,-1.0
actionable,5002,32,1.0,0.0,0.0,851,851,569,0.0
actionable,5003,27,1.0,0.0,0.0,896,896,624,0.0
actionable,5004,20,0.9576881856172473,0.042311814382752604,0.0,471,471,543,0.042311814382752604
actionable,5005,32,1.0,0.0,0.0,1165,1165,666,0.0
actionable,5006,32,1.0,0.0,0.0,708,708,529,0.0
actionable,5007,61,1.0,0.0,0.0,601,601,1277,0.0
actionable,5008,49,1.0,0.0,0.0,1348,1348,2124,0.0
actionable,5009,31,1.0,0.0,0.0,862,862,460,0.0
actionable,5010,27,1.0,0.0,0.0,710,710,722,0.0
actionable,5011,25,1.0,0.0,0.0,419,419,157,0.0
actionable,5012,29,0.9797959871457955,0.02020401285420451,0.0,708,708,915,0.02020401285420451
actionable,5013,22,1.0,0.0,0.0,1236,1236,824,0.0
actionable,5014,3,1.0,0.0,0.0,803,803,918,0.0
actionable,5015,24,1.0,0.0,0.0,449,449,917,0.0
