env,seed,n,L0,real,scram,term_births,semel,health,real_minus_scram
baseline,2000,32,1.0,0.0,0.0,0,0,1002,0.0
baseline,2001,24,1.0,0.0,0.0,0,0,713,0.0
baseline,2002,28,0.0,0.0,1.0,0,0,1587,-1.0
baseline,2003,30,1.0,0.0,0.0,0,0,966,0.0
baseline,2004,54,1.0,0.0,0.0,0,0,1200,0.0
baseline,2005,25,1.0,0.0,0.0,0,0,997,0.0
actionable,2000,48,0.0,0.0,1.0,5971,3843,2133,-1.0
actionable,2001,57,1.0,0.0,0.0,5889,4004,1895,0.0
actionable,2002,52,0.0,0.0,1.0,6320,4011,2310,-1.0
actionable,2003,53,0.0,0.0,1.0,4284,2662,1618,-1.0
actionable,2004,48,0.0,0.0,1.0,7097,5311,1793,-1.0
actionable,2005,49,0.0,0.0,1.0,6297,4294,2011,-1.0
