regime,prob,dur,famine_frac,seed,frac_fear,n
calm,0.0,1,1.0,8000,0.4973927875243665,96
calm,0.0,1,1.0,8001,0.49710648148148157,96
calm,0.0,1,1.0,8002,0.5,96
calm,0.0,1,1.0,8003,0.5,96
calm,0.0,1,1.0,8004,0.5,96
calm,0.0,1,1.0,8005,0.49884259259259267,96
calm,0.0,1,1.0,8006,0.49710648148148157,96
calm,0.0,1,1.0,8007,0.5,96
fine (freq),0.04,3,0.4,8000,0.5017361111111112,96
fine (freq),0.04,3,0.4,8001,0.4965277777777778,96
fine (freq),0.04,3,0.4,8002,0.4791666666666667,96
fine (freq),0.04,3,0.4,8003,0.5,96
fine (freq),0.04,3,0.4,8004,0.4895833333333333,96
fine (freq),0.04,3,0.4,8005,0.4895833333333333,96
fine (freq),0.04,3,0.4,8006,0.49942129629629634,96
fine (freq),0.04,3,0.4,8007,0.5,96
moderate,0.015,10,0.15,8000,0.36689814814814814,96
moderate,0.015,10,0.15,8001,0.29183723196881095,95
moderate,0.015,10,0.15,8002,0.3022039866691819,93
moderate,0.015,10,0.15,8003,0.26041666666666674,96
moderate,0.015,10,0.15,8004,0.32852704678362576,96
moderate,0.015,10,0.15,8005,0.22916666666666666,96
moderate,0.015,10,0.15,8006,0.24479166666666666,96
moderate,0.015,10,0.15,8007,0.3912135539795114,96
coarse (rare),0.006,25,0.0,8000,0.0,0
coarse (rare),0.006,25,0.0,8001,0.3888888888888889,0
coarse (rare),0.006,25,0.0,8002,0.0,0
coarse (rare),0.006,25,0.0,8003,0.0,0
coarse (rare),0.006,25,0.0,8004,0.3496732026143791,0
coarse (rare),0.006,25,0.0,8005,0.175,0
coarse (rare),0.006,25,0.0,8006,0.5074074074074074,3
coarse (rare),0.006,25,0.0,8007,0.0,0
