regime,prob,dur,famine_frac,seed,frac_fear,n
calm,0.0,1,1.0,8000,0.27840462226189544,95
calm,0.0,1,1.0,8001,0.10015394472907639,95
calm,0.0,1,1.0,8002,0.0634137651268613,92
calm,0.0,1,1.0,8003,0.0,95
calm,0.0,1,1.0,8004,0.0,95
calm,0.0,1,1.0,8005,0.0,96
fine (freq),0.04,3,0.4,8000,0.0,95
fine (freq),0.04,3,0.4,8001,0.0,94
fine (freq),0.04,3,0.4,8002,0.6121538668947814,95
fine (freq),0.04,3,0.4,8003,0.0,0
fine (freq),0.04,3,0.4,8004,0.0,92
fine (freq),0.04,3,0.4,8005,0.0,95
moderate,0.015,10,0.15,8000,1.0,94
moderate,0.015,10,0.15,8001,0.0,90
moderate,0.015,10,0.15,8002,1.0,96
moderate,0.015,10,0.15,8003,0.0,0
moderate,0.015,10,0.15,8004,0.0,96
moderate,0.015,10,0.15,8005,0.0,94
coarse (rare),0.006,30,0.0,8000,0.0,0
coarse (rare),0.006,30,0.0,8001,0.0,95
coarse (rare),0.006,30,0.0,8002,0.0,0
coarse (rare),0.006,30,0.0,8003,0.0,0
coarse (rare),0.006,30,0.0,8004,0.0,0
coarse (rare),0.006,30,0.0,8005,0.11578947368421053,0
