env,seed,n,L0,real,scram,term_births,semel,health,real_minus_scram
baseline,2000,0,0.8846153846153846,0.038461538461538464,0.0,0,0,1550,0.038461538461538464
baseline,2001,38,1.0,0.0,0.0,0,0,2349,0.0
baseline,2002,0,0.8961538461538462,0.0038461538461538464,0.0,0,0,566,0.0038461538461538464
baseline,2003,0,0.9166666666666666,0.0,0.0,0,0,468,0.0
baseline,2004,41,1.0,0.0,0.0,0,0,2172,0.0
baseline,2005,0,0.9,0.0,0.0,0,0,632,0.0
baseline,2006,0,0.9090909090909091,0.0,0.0,0,0,527,0.0
baseline,2007,0,0.9019664545980336,0.0,0.021110468478889532,0,0,867,-0.021110468478889532
baseline,2008,32,1.0,0.0,0.0,0,0,2094,0.0
baseline,2009,0,0.9166666666666666,0.0,0.0,0,0,628,0.0
baseline,2010,48,1.0,0.0,0.0,0,0,2559,0.0
baseline,2011,0,0.9230769230769231,0.0,0.0,0,0,851,0.0
