brain,condition,s
MLP-8,test(real senses),-0.002868629905805819
MLP-8,test(real senses),-0.004013144953077431
MLP-8,test(real senses),0.0013048412320153888
MLP-8,test(real senses),-0.04536161294502706
MLP-8,test(real senses),-0.0347903426533991
MLP-8,test(real senses),0.031637293837262444
MLP-8,test(real senses),-0.04574650431450015
MLP-8,test(real senses),0.032617045912173466
MLP-8,test(real senses),-0.02254737104428623
MLP-8,test(real senses),-0.001766096017465601
MLP-8,test(real senses),0.02748115250912572
MLP-8,test(real senses),0.05665574002832473
MLP-8,test(real senses),-0.04060320239309391
MLP-8,test(real senses),-0.016310443431468636
MLP-8,test(real senses),-0.0016476029244523317
MLP-8,test(real senses),0.0352036367437265
MLP-8,test(real senses),0.0331250205174607
MLP-8,test(real senses),-0.00025568463182221705
MLP-8,test(real senses),0.014196287262914097
MLP-8,test(real senses),-0.04755158995222162
MLP-8,test(real senses),-0.054243011599412805
MLP-8,test(real senses),-0.048597992597482785
MLP-8,test(real senses),-0.034613668004235744
MLP-8,test(real senses),0.01790532592265346
MLP-8,test(real senses),0.09739438528921888
MLP-8,test(real senses),0.009101330995944899
MLP-8,test(real senses),-0.007419015276516286
MLP-8,test(real senses),0.030696818202499095
MLP-8,test(real senses),-0.009919559225998815
MLP-8,test(real senses),-0.0024216759668541678
MLP-8,null(both scram),-0.035367403372768454
MLP-8,null(both scram),0.0004647144393348969
MLP-8,null(both scram),0.030338348081326624
MLP-8,null(both scram),0.02949475996082338
MLP-8,null(both scram),-0.11058839774584561
MLP-8,null(both scram),0.0034728052483621536
MLP-8,null(both scram),-0.03740565165703481
MLP-8,null(both scram),0.06986876089396961
MLP-8,null(both scram),-0.0040811963050441085
MLP-8,null(both scram),0.02536314176563382
MLP-8,null(both scram),0.03087338587748114
MLP-8,null(both scram),0.03880537890565154
MLP-8,null(both scram),0.007709629540316982
MLP-8,null(both scram),-0.03800257210109776
MLP-8,null(both scram),0.006376483276406762
MLP-8,null(both scram),-0.00045606358175011183
MLP-8,null(both scram),0.04431435993969138
MLP-8,null(both scram),-0.07339866817890642
MLP-8,null(both scram),0.08206486009067532
MLP-8,null(both scram),0.011866932325492564
MLP-8,null(both scram),0.18761659443047796
MLP-8,null(both scram),0.08394349574499692
MLP-8,null(both scram),-0.000330956913397151
MLP-8,null(both scram),0.04198893061298809
MLP-8,null(both scram),0.06582052892866969
MLP-8,null(both scram),0.018643787966567387
MLP-8,null(both scram),-0.022020505612232094
MLP-8,null(both scram),0.05294486344290178
MLP-8,null(both scram),-0.023557794248913553
MLP-8,null(both scram),-0.039950825540946096
linear,test(real senses),0.0024588498106896707
linear,test(real senses),-0.024137194395487272
linear,test(real senses),-0.0023119912647090158
linear,test(real senses),0.023489770602782057
linear,test(real senses),0.019721271583426292
linear,test(real senses),0.007318387264204619
linear,test(real senses),0.013483094612136183
linear,test(real senses),0.007825176895510471
linear,test(real senses),0.046427239355873486
linear,test(real senses),-0.0027314859094529544
linear,test(real senses),-0.009511777939413128
linear,test(real senses),0.0014939327451562437
linear,test(real senses),-0.00302182975683586
linear,test(real senses),-0.003457466412848729
linear,test(real senses),0.02695889174693556
linear,test(real senses),-0.0011613601859133014
linear,test(real senses),0.03037463932773776
linear,test(real senses),0.00011395115921213602
linear,test(real senses),0.008714653296131416
linear,test(real senses),0.0041455881266966145
linear,test(real senses),-0.01627117011194371
linear,test(real senses),-0.014247011568126095
linear,test(real senses),-0.02366178552156874
linear,test(real senses),0.002524626621635422
linear,test(real senses),0.011178132671054691
linear,test(real senses),-0.014117544856291478
linear,test(real senses),0.02268690160061206
linear,test(real senses),-0.004960211869305379
linear,test(real senses),0.006334916000394954
linear,test(real senses),0.05603799025191352
linear,null(both scram),0.008918498515580008
linear,null(both scram),-0.00895900476022689
linear,null(both scram),0.0070691758408545835
linear,null(both scram),0.06918813080791844
linear,null(both scram),0.014271635626462987
linear,null(both scram),0.0023653429353470796
linear,null(both scram),-0.001156236136818617
linear,null(both scram),0.015812928451788638
linear,null(both scram),0.13897744461992187
linear,null(both scram),-0.007004338171044336
linear,null(both scram),0.034878499456810874
linear,null(both scram),0.009217522228468035
linear,null(both scram),0.008886921229200928
linear,null(both scram),0.004578015839220899
linear,null(both scram),0.0036661998873923555
linear,null(both scram),0.010901154269526965
linear,null(both scram),0.00864137340776545
linear,null(both scram),-0.03107525216062019
linear,null(both scram),0.015223520765948843
linear,null(both scram),-0.004442764246671031
linear,null(both scram),-0.021349387198235804
linear,null(both scram),-0.03933623924328801
linear,null(both scram),-0.042670963949691824
linear,null(both scram),-0.007521235284079648
linear,null(both scram),0.012871446264803636
linear,null(both scram),-0.0059129834761326265
linear,null(both scram),0.005832207179352068
linear,null(both scram),0.0030821820443769606
linear,null(both scram),0.00043112509942981006
linear,null(both scram),-0.00874323940071811
