brain,condition,s
MLP-8,test(real senses),-0.9830200424032772
MLP-8,test(real senses),-0.744375754961481
MLP-8,test(real senses),0.6873498243172694
MLP-8,test(real senses),-0.17436778559538366
MLP-8,test(real senses),0.6866032583427446
MLP-8,test(real senses),0.545392067202312
MLP-8,test(real senses),0.10457275582916896
MLP-8,test(real senses),-0.7788634900175508
MLP-8,test(real senses),-0.8640802422122563
MLP-8,test(real senses),-1.4339285181515462
MLP-8,test(real senses),-0.9931073057437029
MLP-8,test(real senses),-1.2736995741509214
MLP-8,test(real senses),0.8282792027517478
MLP-8,test(real senses),-1.2030776077014655
MLP-8,test(real senses),1.0544713063797544
MLP-8,test(real senses),0.9137015628939321
MLP-8,test(real senses),0.9806579764181993
MLP-8,test(real senses),-1.155449431719547
MLP-8,test(real senses),-0.7259376203972614
MLP-8,test(real senses),1.129375685591072
MLP-8,test(real senses),-0.0966543626797575
MLP-8,test(real senses),0.9777452323685846
MLP-8,test(real senses),-0.15921125873057243
MLP-8,test(real senses),0.7571333772854263
MLP-8,test(real senses),0.7080721101648845
MLP-8,test(real senses),0.9124045418855421
MLP-8,test(real senses),-0.12355782741230881
MLP-8,test(real senses),-1.1167966899256845
MLP-8,test(real senses),-0.5203276800723177
MLP-8,test(real senses),0.7979675978194958
MLP-8,null(both scram),0.6656896677321779
MLP-8,null(both scram),0.6601988714785921
MLP-8,null(both scram),1.307342229948607
MLP-8,null(both scram),1.07683785804353
MLP-8,null(both scram),1.255674384615181
MLP-8,null(both scram),0.1745197535023148
MLP-8,null(both scram),-0.6007712454773632
MLP-8,null(both scram),-1.5709968055103618
MLP-8,null(both scram),-0.40398080517525076
MLP-8,null(both scram),-0.6855681050589792
MLP-8,null(both scram),0.7886123270569839
MLP-8,null(both scram),0.7746028646530215
MLP-8,null(both scram),0.6677158103784715
MLP-8,null(both scram),1.3780618372130937
MLP-8,null(both scram),1.56276564856409
MLP-8,null(both scram),0.706637458063825
MLP-8,null(both scram),-0.6390019810822918
MLP-8,null(both scram),0.9502948876408605
MLP-8,null(both scram),0.43362687546363315
MLP-8,null(both scram),0.9207481452769716
MLP-8,null(both scram),-1.424527638310415
MLP-8,null(both scram),0.7117971600755111
MLP-8,null(both scram),0.9844939289249713
MLP-8,null(both scram),0.7991832904887541
MLP-8,null(both scram),0.5262527361282701
MLP-8,null(both scram),1.0606476457420835
MLP-8,null(both scram),-0.8838739918521915
MLP-8,null(both scram),-0.5385798675011024
MLP-8,null(both scram),0.05241608489194247
MLP-8,null(both scram),-0.5591022112443531
linear,test(real senses),-0.3667833479682434
linear,test(real senses),-0.6404726443172797
linear,test(real senses),1.2830124972189714
linear,test(real senses),0.6281604933455377
linear,test(real senses),-0.799848909241609
linear,test(real senses),0.3313690112851955
linear,test(real senses),-0.8822954698169629
linear,test(real senses),0.3148119233718904
linear,test(real senses),1.0929937558170326
linear,test(real senses),0.5699906268812296
linear,test(real senses),-0.44019781682559034
linear,test(real senses),0.926766059276356
linear,test(real senses),1.1236742559123019
linear,test(real senses),-0.6199273491950791
linear,test(real senses),1.159796167377805
linear,test(real senses),-0.5913982781299717
linear,test(real senses),-0.7145534608104711
linear,test(real senses),-0.9525087150202699
linear,test(real senses),-1.1010498215903883
linear,test(real senses),-0.2704987137856652
linear,test(real senses),-0.7396659645009612
linear,test(real senses),0.9653630826130438
linear,test(real senses),-0.49613405716295966
linear,test(real senses),1.0571834202662906
linear,test(real senses),0.908644075204382
linear,test(real senses),-0.7117614690859666
linear,test(real senses),0.019815236148214486
linear,test(real senses),1.0610190299079192
linear,test(real senses),-0.866537280875474
linear,test(real senses),-0.9365293910599475
linear,null(both scram),0.6118793952535599
linear,null(both scram),-0.7882930289219611
linear,null(both scram),0.9124145171848045
linear,null(both scram),0.8065887567198917
linear,null(both scram),-0.01463494742937139
linear,null(both scram),-0.6366989005181152
linear,null(both scram),-0.7468847253668596
linear,null(both scram),-0.36359339254440703
linear,null(both scram),-0.3113621373185532
linear,null(both scram),-0.7553304543832677
linear,null(both scram),-0.6578479874389777
linear,null(both scram),0.6625879864589608
linear,null(both scram),0.5887785340535786
linear,null(both scram),-0.48058674280730973
linear,null(both scram),1.1143833426436907
linear,null(both scram),-0.9558158777634228
linear,null(both scram),-0.787702551550291
linear,null(both scram),-1.1881418140742308
linear,null(both scram),-0.6341696124969636
linear,null(both scram),-0.8904814793399639
linear,null(both scram),-0.6775550836603652
linear,null(both scram),1.1259055625842493
linear,null(both scram),-0.6890904856042449
linear,null(both scram),1.2906540295296876
linear,null(both scram),-0.3863772482697657
linear,null(both scram),0.3103980483996248
linear,null(both scram),-0.6035372429982493
linear,null(both scram),-0.9436758511187325
linear,null(both scram),0.9957278232083305
linear,null(both scram),-0.9065820723451501
