brain,condition,s
MLP-8,test(real senses),2.0537058433398747
MLP-8,test(real senses),-0.31549490372373573
MLP-8,test(real senses),1.1215868557234205
MLP-8,test(real senses),-0.7821904494700426
MLP-8,test(real senses),0.08758703043263194
MLP-8,test(real senses),0.7294168424839822
MLP-8,test(real senses),-1.9597797522648694
MLP-8,test(real senses),-1.594348325452719
MLP-8,test(real senses),-0.2646034933464383
MLP-8,test(real senses),-0.7217690934065387
MLP-8,test(real senses),-0.7907995909766297
MLP-8,test(real senses),1.3933117178841086
MLP-8,test(real senses),2.0465670408311256
MLP-8,test(real senses),2.6783753354125195
MLP-8,test(real senses),2.0477320804642463
MLP-8,test(real senses),-1.0191803975130658
MLP-8,test(real senses),0.37315399390423953
MLP-8,test(real senses),-2.243974770104343
MLP-8,test(real senses),-1.1670184785854496
MLP-8,test(real senses),1.7219943750523417
MLP-8,null(both scram),0.7912216548561577
MLP-8,null(both scram),0.7611664901826313
MLP-8,null(both scram),1.4802402902227445
MLP-8,null(both scram),0.0744869888270251
MLP-8,null(both scram),-1.4575355640868364
MLP-8,null(both scram),1.1073265577739024
MLP-8,null(both scram),0.24483258859573923
MLP-8,null(both scram),-0.1908992850047408
MLP-8,null(both scram),2.0426348285346636
MLP-8,null(both scram),-1.4900863645129163
MLP-8,null(both scram),0.3396308609625136
MLP-8,null(both scram),-2.5276914630496647
MLP-8,null(both scram),0.6813978111825071
MLP-8,null(both scram),-0.8722018271842273
MLP-8,null(both scram),0.4520498675560755
MLP-8,null(both scram),-0.5938246786005973
MLP-8,null(both scram),0.7579505937007399
MLP-8,null(both scram),-1.0096175154212073
MLP-8,null(both scram),0.6841017509880862
MLP-8,null(both scram),2.362970807896272
linear,test(real senses),0.09358475512239321
linear,test(real senses),1.17072521284494
linear,test(real senses),0.14406974359177277
linear,test(real senses),-0.628441280975434
linear,test(real senses),-2.9348152051064704
linear,test(real senses),0.17304976569438696
linear,test(real senses),-2.8562958321363774
linear,test(real senses),1.3476655604349992
linear,test(real senses),-1.2546013833418053
linear,test(real senses),-0.8332441517957725
linear,test(real senses),-0.9260511808060414
linear,test(real senses),1.6705838151315453
linear,test(real senses),2.217130780148245
linear,test(real senses),-0.10968577098328422
linear,test(real senses),-0.3941198854120625
linear,test(real senses),2.5577838822927306
linear,test(real senses),-0.142598411985688
linear,test(real senses),0.5947096561429054
linear,test(real senses),-1.2992849547677965
linear,test(real senses),-0.5384746344061093
linear,null(both scram),0.9866410403082208
linear,null(both scram),-0.31758894701358525
linear,null(both scram),-1.6045825244457967
linear,null(both scram),0.7752791323930999
linear,null(both scram),1.189698296291884
linear,null(both scram),1.0434729253392798
linear,null(both scram),0.8114079600025421
linear,null(both scram),0.9116736753062469
linear,null(both scram),1.7207640729263367
linear,null(both scram),-0.1994322707278504
linear,null(both scram),-1.860998689929989
linear,null(both scram),-0.5810932680413948
linear,null(both scram),0.6534576954631377
linear,null(both scram),0.061322464807910024
linear,null(both scram),0.7133045806124673
linear,null(both scram),0.8366011362503389
linear,null(both scram),-1.2086551398751901
linear,null(both scram),0.3198032985467874
linear,null(both scram),-1.8105802464812726
linear,null(both scram),0.09964679377345124
