rep,phase,d,r,tick,acc
0,sweep,0.002,0,0,0.9554
0,sweep,0.002,0,50,0.9554
0,sweep,0.002,0,100,0.9583
0,sweep,0.002,0,150,0.9590
0,sweep,0.002,0,200,0.9567
0,sweep,0.002,0,250,0.9564
0,sweep,0.002,0,300,0.9577
0,sweep,0.002,0,350,0.9554
0,sweep,0.002,0,400,0.9564
0,sweep,0.002,0,450,0.9557
0,sweep,0.002,0,500,0.9557
0,sweep,0.002,0,550,0.9544
0,sweep,0.002,0,600,0.9538
0,sweep,0.002,0,650,0.9528
0,sweep,0.002,0,700,0.9525
0,sweep,0.002,0,750,0.9518
0,sweep,0.002,0,800,0.9518
0,sweep,0.002,0,850,0.9531
0,sweep,0.002,0,900,0.9531
0,sweep,0.002,0,950,0.9535
0,sweep,0.002,0,1000,0.9531
0,sweep,0.002,0,1050,0.9521
0,sweep,0.002,0,1100,0.9521
0,sweep,0.002,0,1150,0.9499
0,sweep,0.002,0,1200,0.9492
0,sweep,0.002,0,1250,0.9518
0,sweep,0.002,0,1300,0.9508
0,sweep,0.002,0,1350,0.9486
0,sweep,0.002,0,1400,0.9463
0,sweep,0.002,0,1450,0.9437
0,sweep,0.002,0,1499,0.9421
0,sweep,0.002,1,0,0.9554
0,sweep,0.002,1,50,0.9570
0,sweep,0.002,1,100,0.9583
0,sweep,0.002,1,150,0.9580
0,sweep,0.002,1,200,0.9577
0,sweep,0.002,1,250,0.9590
0,sweep,0.002,1,300,0.9590
0,sweep,0.002,1,350,0.9596
0,sweep,0.002,1,400,0.9596
0,sweep,0.002,1,450,0.9590
0,sweep,0.002,1,500,0.9593
0,sweep,0.002,1,550,0.9577
0,sweep,0.002,1,600,0.9580
0,sweep,0.002,1,650,0.9574
0,sweep,0.002,1,700,0.9590
0,sweep,0.002,1,750,0.9580
0,sweep,0.002,1,800,0.9583
0,sweep,0.002,1,850,0.9577
0,sweep,0.002,1,900,0.9580
0,sweep,0.002,1,950,0.9580
0,sweep,0.002,1,1000,0.9577
0,sweep,0.002,1,1050,0.9577
0,sweep,0.002,1,1100,0.9570
0,sweep,0.002,1,1150,0.9570
0,sweep,0.002,1,1200,0.9593
0,sweep,0.002,1,1250,0.9574
0,sweep,0.002,1,1300,0.9580
0,sweep,0.002,1,1350,0.9577
0,sweep,0.002,1,1400,0.9580
0,sweep,0.002,1,1450,0.9580
0,sweep,0.002,1,1499,0.9570
0,sweep,0.002,2,0,0.9554
0,sweep,0.002,2,50,0.9587
0,sweep,0.002,2,100,0.9587
0,sweep,0.002,2,150,0.9583
0,sweep,0.002,2,200,0.9600
0,sweep,0.002,2,250,0.9596
0,sweep,0.002,2,300,0.9593
0,sweep,0.002,2,350,0.9603
0,sweep,0.002,2,400,0.9596
0,sweep,0.002,2,450,0.9593
0,sweep,0.002,2,500,0.9593
0,sweep,0.002,2,550,0.9603
0,sweep,0.002,2,600,0.9596
0,sweep,0.002,2,650,0.9609
0,sweep,0.002,2,700,0.9600
0,sweep,0.002,2,750,0.9593
0,sweep,0.002,2,800,0.9596
0,sweep,0.002,2,850,0.9593
0,sweep,0.002,2,900,0.9570
0,sweep,0.002,2,950,0.9590
0,sweep,0.002,2,1000,0.9580
0,sweep,0.002,2,1050,0.9580
0,sweep,0.002,2,1100,0.9570
0,sweep,0.002,2,1150,0.9583
0,sweep,0.002,2,1200,0.9596
0,sweep,0.002,2,1250,0.9593
0,sweep,0.002,2,1300,0.9580
0,sweep,0.002,2,1350,0.9574
0,sweep,0.002,2,1400,0.9567
0,sweep,0.002,2,1450,0.9567
0,sweep,0.002,2,1499,0.9561
0,sweep,0.002,4,0,0.9554
0,sweep,0.002,4,50,0.9583
0,sweep,0.002,4,100,0.9590
0,sweep,0.002,4,150,0.9596
0,sweep,0.002,4,200,0.9596
0,sweep,0.002,4,250,0.9606
0,sweep,0.002,4,300,0.9606
0,sweep,0.002,4,350,0.9603
0,sweep,0.002,4,400,0.9593
0,sweep,0.002,4,450,0.9596
