d,r,ss_mean,ss_std,n
0.002,0,0.9427,0.0084,4
0.002,1,0.9571,0.0008,4
0.002,2,0.9573,0.0012,4
0.002,4,0.9579,0.0010,4
0.002,8,0.9582,0.0008,4
0.005,0,0.8745,0.0328,4
0.005,1,0.9418,0.0015,4
0.005,2,0.9429,0.0013,4
0.005,4,0.9419,0.0013,4
0.005,8,0.9412,0.0010,4
0.01,0,0.5821,0.0377,4
0.01,1,0.8429,0.0097,4
0.01,2,0.8560,0.0116,4
0.01,4,0.8757,0.0031,4
0.01,8,0.8923,0.0024,4
0.02,0,0.1337,0.0326,4
0.02,1,0.1734,0.0262,4
0.02,2,0.2608,0.1037,4
0.02,4,0.6241,0.0130,4
0.02,8,0.7316,0.0106,4
0.04,0,0.1043,0.0091,4
0.04,1,0.1025,0.0025,4
0.04,2,0.1145,0.0066,4
0.04,4,0.1105,0.0057,4
0.04,8,0.1713,0.0194,4
0.08,0,0.1026,0.0061,4
0.08,1,0.1174,0.0062,4
0.08,2,0.1137,0.0139,4
0.08,4,0.1243,0.0099,4
0.08,8,0.1303,0.0070,4
0.16,0,0.1026,0.0069,4
0.16,1,0.5083,0.0123,4
0.16,2,0.5997,0.0026,4
0.16,4,0.6701,0.0039,4
0.16,8,0.7397,0.0015,4
